Hotel Name,Rating,Score Description,Date,Pros,Full Review
Four Seasons Hotel New York Downtown,,Okay,2024-10-01,Pros (+) It was close to the wedding I was attending.,It was close to the wedding I was attending.
Four Seasons Hotel New York Downtown,,Good,2024-10-01,Pros (+) Staff went above and beyond to help me celebrate my mom's 60th birthday - thanks again!,Staff went above and beyond to help me celebrate my mom's 60th birthday - thanks again!
Four Seasons Hotel New York Downtown,9.0,Wonderful,2024-08-01,Pros (+) spacious room with beautiful decoration turn down service cool atmosphere,spacious room with beautiful decoration turn down service cool atmosphere
Four Seasons Hotel New York Downtown,10,Wonderful,2024-08-01,"Pros (+) The Four Seasons Downtown is in a terrific location if you want to explore Tribeca, SoHo and the Downtown area. It is a slightly more edgy, funky version of the Four Seasons brand, whilst retaining all the character and class of the original.","The Four Seasons Downtown is in a terrific location if you want to explore Tribeca, SoHo and the Downtown area. It is a slightly more edgy, funky version of the Four Seasons brand, whilst retaining all the character and class of the original."
Four Seasons Hotel New York Downtown,10,Wonderful,2024-06-01,"Pros (+) The Four Seasons New York Downtown is a great hotel. The hotel bar is nice and the in-house restaurant ""CUT"" by Wolfgang Puck is excellent. The rooms are nice and neat and the beds are as usual for Four Seasons very comfortable. Hotel staff is friendly and helpful.","The Four Seasons New York Downtown is a great hotel. The hotel bar is nice and the in-house restaurant ""CUT"" by Wolfgang Puck is excellent. The rooms are nice and neat and the beds are as usual for Four Seasons very comfortable. Hotel staff is friendly and helpful."
Four Seasons Hotel New York Downtown,10,Wonderful,2024-05-01,"Pros (+) Good location, amazing staff","Good location, amazing staff"
Four Seasons Hotel New York Downtown,9.0,Wonderful,2024-05-01,Pros (+) The room in particular the bathroom with a stunning bath. The staff and the location. Exceptional staff who were more than happy to go the extra mile.,The room in particular the bathroom with a stunning bath. The staff and the location. Exceptional staff who were more than happy to go the extra mile.
Four Seasons Hotel New York Downtown,10,Wonderful,2024-04-01,"Pros (+) Everything! Location, staff, room!","Everything! Location, staff, room!"
Four Seasons Hotel New York Downtown,10,Wonderful,2024-03-01,Pros (+) 30th anniversary ❤️,30th anniversary ❤️
Four Seasons Hotel New York Downtown,9.0,Wonderful,2024-03-01,"Pros (+) I must say, Four Seasons is our favorite hotel out of the three we stayed at during our visit to New York. The staff were warm and welcoming with smiles. The food was delicious. I will definitely recommend it to friends.","I must say, Four Seasons is our favorite hotel out of the three we stayed at during our visit to New York. The staff were warm and welcoming with smiles. The food was delicious. I will definitely recommend it to friends."
"The Beekman, A Thompson Hotel",10,Wonderful,2024-12-01,Pros (+) We loved everything about it. The look and feel the decor gives. The location was perfect for us. The bar was always busy but never sounded loud. The food and the cocktails were amazing! The rooms felt like you were at someone's apartment which was lovely. The bed was comfortable...we loved the pillows. The staff were so friendly and helpful.,We loved everything about it. The look and feel the decor gives. The location was perfect for us. The bar was always busy but never sounded loud. The food and the cocktails were amazing! The rooms felt like you were at someone's apartment which was lovely. The bed was comfortable...we loved the pillows. The staff were so friendly and helpful.
"The Beekman, A Thompson Hotel",10,Wonderful,2024-12-01,Pros (+) Atmosphere in bar Comfort of rooms Friendliness of staff Morning coffee cart,Atmosphere in bar Comfort of rooms Friendliness of staff Morning coffee cart
"The Beekman, A Thompson Hotel",10,Wonderful,2024-12-01,Pros (+) Gorgeous facilities with classic charm,Gorgeous facilities with classic charm
"The Beekman, A Thompson Hotel",,Good,2024-11-01,"Pros (+) 5 star, front door staff excellent Larger than normal rooms , very comfortable","5 star, front door staff excellent Larger than normal rooms , very comfortable"
"The Beekman, A Thompson Hotel",9.0,Wonderful,2024-11-01,Pros (+) Hotel is just beautiful internally,Hotel is just beautiful internally
"The Beekman, A Thompson Hotel",10,Wonderful,2024-11-01,Pros (+) The rooms were perfectly situated for our family 923 &924.,The rooms were perfectly situated for our family 923 &924.
"The Beekman, A Thompson Hotel",,Good,2024-10-01,"Pros (+) Location is amazing The room was quiet The hotel has a soul, history, the atrium is impressive The staff is cool (specially the doormen)","Location is amazing The room was quiet The hotel has a soul, history, the atrium is impressive The staff is cool (specially the doormen)"
"The Beekman, A Thompson Hotel",9.0,Wonderful,2024-10-01,"Pros (+) Amazing decor, fantastic bar","Amazing decor, fantastic bar"
"The Beekman, A Thompson Hotel",10,Wonderful,2024-10-01,"Pros (+) Location, friendly and helpful staff, very clean","Location, friendly and helpful staff, very clean"
"The Beekman, A Thompson Hotel",10,Wonderful,2024-10-01,Pros (+) Gorgeous hotel in a beautiful building. The rooms were very spacious and I would definitely stay here again.,Gorgeous hotel in a beautiful building. The rooms were very spacious and I would definitely stay here again.
Crosby Street Hotel,10,Wonderful,2024-11-01,Pros (+) Beautifully decorated with good service and many luxury details in the room design. Great showers,Beautifully decorated with good service and many luxury details in the room design. Great showers
Crosby Street Hotel,10,Wonderful,2024-11-01,Pros (+) The room was dreamy!,The room was dreamy!
Crosby Street Hotel,10,Wonderful,2024-08-01,Pros (+) Loved it all.....a blissful experience.,Loved it all.....a blissful experience.
Crosby Street Hotel,10,Wonderful,2024-06-01,"Pros (+) Beautiful design, friendly and helpful staff, very clean, and BIG windows which I loved!","Beautiful design, friendly and helpful staff, very clean, and BIG windows which I loved!"
Crosby Street Hotel,10,Wonderful,2024-05-01,Pros (+) it feels like home,it feels like home
Crosby Street Hotel,10,Wonderful,2024-05-01,Pros (+) rooms beautifully decorated bathroom well appointed lobby restaurant xcellent quality location super for soho area,rooms beautifully decorated bathroom well appointed lobby restaurant xcellent quality location super for soho area
Crosby Street Hotel,9.0,Wonderful,2024-03-01,Pros (+) Was very nice and clean,Was very nice and clean
Crosby Street Hotel,10,Wonderful,2024-03-01,Pros (+) Very calm and relaxing and amazing location in the City.,Very calm and relaxing and amazing location in the City.
Crosby Street Hotel,10,Wonderful,2024-02-01,"Pros (+) Everything is exquisite, especially the decor and windows in the room. Great restaurant and private bar. Gym is well equipped and the service is solid.","Everything is exquisite, especially the decor and windows in the room. Great restaurant and private bar. Gym is well equipped and the service is solid."
Crosby Street Hotel,10,Wonderful,2024-02-01,"Pros (+) Good location excellent accommodations, good food and bar.","Good location excellent accommodations, good food and bar."
citizenM New York Bowery,10,Wonderful,2024-12-01,"Pros (+) Loved this hotel! Clean, very nicely decorated, convenient location, easiest check in process. Loved the ipad to control the room.","Loved this hotel! Clean, very nicely decorated, convenient location, easiest check in process. Loved the ipad to control the room."
citizenM New York Bowery,9.0,Wonderful,2024-12-01,"Pros (+) Design of this very modern hotel and rooms in general, the warm atmosphere, bathroom with great shower. Rooftopbar delivers an awesome experience. The location is excellent to experience New York City The staff has been very friendly and relaxed. Great wifi speed","Design of this very modern hotel and rooms in general, the warm atmosphere, bathroom with great shower. Rooftopbar delivers an awesome experience. The location is excellent to experience New York City The staff has been very friendly and relaxed. Great wifi speed"
citizenM New York Bowery,8.0,Very good,2024-12-01,"Pros (+) I’ve had the pleasure of staying at various citizenM locations across the USA, including the iconic citizenM Times Square in New York. Overall, my experience has consistently met expectations, particularly with the vibrant photos aligning well with reality when it comes to the rooms, coworking spaces, and stylish lobbies. I also appreciated the ability to warm up the room—especially important duri...","I’ve had the pleasure of staying at various citizenM locations across the USA, including the iconic citizenM Times Square in New York. Overall, my experience has consistently met expectations, particularly with the vibrant photos aligning well with reality when it comes to the rooms, coworking spaces, and stylish lobbies. I also appreciated the ability to warm up the room—especially important duri..."
citizenM New York Bowery,10,Wonderful,2024-12-01,Pros (+) Comfortable bed design and people,Comfortable bed design and people
citizenM New York Bowery,10,Wonderful,2024-12-01,Pros (+) Ate out,Ate out
citizenM New York Bowery,8.0,Very good,2024-12-01,Pros (+) The hotel is very cool. Great decor. Breakfast was nice and easy,The hotel is very cool. Great decor. Breakfast was nice and easy
citizenM New York Bowery,8.0,Very good,2024-12-01,"Pros (+) Clean, friendly staff","Clean, friendly staff"
citizenM New York Bowery,,Good,2024-12-01,Pros (+) Room is small but comfortable,Room is small but comfortable
citizenM New York Bowery,9.0,Wonderful,2024-12-01,Pros (+) I loved how easy it was for me to check in on my own and the cyber amentities inside the room was cool! The led lights were amazing and the bed was comfortable. I also liked that I could do a “black out” moment with the shades so that my room could get dark before bed. Also the art in the stairwells!,I loved how easy it was for me to check in on my own and the cyber amentities inside the room was cool! The led lights were amazing and the bed was comfortable. I also liked that I could do a “black out” moment with the shades so that my room could get dark before bed. Also the art in the stairwells!
citizenM New York Bowery,10,Wonderful,2024-12-01,Pros (+) The location was perfect; everything was nearby. The room was great; the size was fine and the bed very comfy. Great shower and we loved the view from the huge window.,The location was perfect; everything was nearby. The room was great; the size was fine and the bed very comfy. Great shower and we loved the view from the huge window.
The Marlton Hotel,10,Wonderful,2024-10-01,"Pros (+) Great location + lots of character made for a unique stay! Staff let us drop our bags before a check in it, so that we did not have to walk around with them.","Great location + lots of character made for a unique stay! Staff let us drop our bags before a check in it, so that we did not have to walk around with them."
The Marlton Hotel,8.0,Very good,2024-10-01,"Pros (+) Great hotel with historical and beautiful interior, good use of the space, convenient location","Great hotel with historical and beautiful interior, good use of the space, convenient location"
The Marlton Hotel,,Poor,2024-10-01,Pros (+) Didn’t like much.,Didn’t like much.
The Marlton Hotel,10,Wonderful,2024-10-01,"Pros (+) We had an amazing stay at the Marlton Hotel. Service was excellent from check in to the restaurant, bar and room. We loved the lounge which allowed us to get together with friends. The location was perfect.","We had an amazing stay at the Marlton Hotel. Service was excellent from check in to the restaurant, bar and room. We loved the lounge which allowed us to get together with friends. The location was perfect."
The Marlton Hotel,9.0,Wonderful,2024-10-01,"Pros (+) Great breakfast, very convenient with easy access to the subway, great location and close to tons of cafes and restaurants. Friendly staff.","Great breakfast, very convenient with easy access to the subway, great location and close to tons of cafes and restaurants. Friendly staff."
The Marlton Hotel,10,Wonderful,2024-10-01,Pros (+) The restaurant breakfast was the best I ever had !! Beds were so comfy and staff was wonderful!,The restaurant breakfast was the best I ever had !! Beds were so comfy and staff was wonderful!
The Marlton Hotel,10,Wonderful,2024-10-01,Pros (+) So friendly and awesome service. Will definitely go back to stay.,So friendly and awesome service. Will definitely go back to stay.
The Marlton Hotel,8.0,Very good,2024-10-01,"Pros (+) character, location and comfort.","character, location and comfort."
The Marlton Hotel,8.0,Very good,2024-09-01,Pros (+) Cozy Location,Cozy Location
The Marlton Hotel,10,Wonderful,2024-09-01,"Pros (+) Location was perfect, the staff were amazing , we loved the atmosphere of this gem of a Hotel","Location was perfect, the staff were amazing , we loved the atmosphere of this gem of a Hotel"
"Hotel 50 Bowery, Part Of Jdv By Hyatt",9.0,Wonderful,2024-12-01,"Pros (+) Always an excellent experience at the Hotel 50 Bowery. Rooms have amazing views, and we were treated to a bottle of Prosecco as we were celebrating our anniversary. We appreciate the hotel’s management and attention to detail.","Always an excellent experience at the Hotel 50 Bowery. Rooms have amazing views, and we were treated to a bottle of Prosecco as we were celebrating our anniversary. We appreciate the hotel’s management and attention to detail."
"Hotel 50 Bowery, Part Of Jdv By Hyatt",,Poor,2024-12-01,"Pros (+) Great location, convenient to shop","Great location, convenient to shop"
"Hotel 50 Bowery, Part Of Jdv By Hyatt",10,Wonderful,2024-12-01,"Pros (+) Everything! Amazing location - walkable into Chinatown, Little Italy, Soho, LES.. SO clean, and hospitable. We arrived way earlier than expected and were able to check in early for a small fee. Very comfortable bed, friendly staff (particularly the rooftop bar staff!)","Everything! Amazing location - walkable into Chinatown, Little Italy, Soho, LES.. SO clean, and hospitable. We arrived way earlier than expected and were able to check in early for a small fee. Very comfortable bed, friendly staff (particularly the rooftop bar staff!)"
"Hotel 50 Bowery, Part Of Jdv By Hyatt",9.0,Wonderful,2024-12-01,Pros (+) We loved the view from the room and the dining options close to the hotel.,We loved the view from the room and the dining options close to the hotel.
"Hotel 50 Bowery, Part Of Jdv By Hyatt",8.0,Very good,2024-12-01,"Pros (+) A good hotel, very convenient location in Chinatown. Felt comfortable and safe walking around day and night, we especially liked the markets on Mott St. For the subway we used the Canal station, it was the cleanest in the area. The room was clean and the service was efficient. Another nice touch - the gym was great.","A good hotel, very convenient location in Chinatown. Felt comfortable and safe walking around day and night, we especially liked the markets on Mott St. For the subway we used the Canal station, it was the cleanest in the area. The room was clean and the service was efficient. Another nice touch - the gym was great."
"Hotel 50 Bowery, Part Of Jdv By Hyatt",10,Wonderful,2024-11-01,"Pros (+) Great location , reasonable prices, clean and cozy room . Friendly staff.","Great location , reasonable prices, clean and cozy room . Friendly staff."
"Hotel 50 Bowery, Part Of Jdv By Hyatt",9.0,Wonderful,2024-11-01,"Pros (+) Very nice room, very good service.","Very nice room, very good service."
"Hotel 50 Bowery, Part Of Jdv By Hyatt",10,Wonderful,2024-11-01,"Pros (+) Comfortable 5 star hotel with white glove treatment in a perfect downtown location; a quiet pretty hotel, with courteous staff, easy parking, nice roof deck for breakfast / cocktails & fabulous gym, great amenities!","Comfortable 5 star hotel with white glove treatment in a perfect downtown location; a quiet pretty hotel, with courteous staff, easy parking, nice roof deck for breakfast / cocktails & fabulous gym, great amenities!"
"Hotel 50 Bowery, Part Of Jdv By Hyatt",10,Wonderful,2024-11-01,Pros (+) From our corner room (room 1230) we had a magnificent/awesome/superbe/wonderful view on both lower Manhattan and midtown Manhattan! Really stunning!,From our corner room (room 1230) we had a magnificent/awesome/superbe/wonderful view on both lower Manhattan and midtown Manhattan! Really stunning!
"Hotel 50 Bowery, Part Of Jdv By Hyatt",8.0,Very good,2024-11-01,"Pros (+) The room was spacious, clean, with large windows and offered a stunning view of the city. The staff is also friendly and competent. We used valet parking and the car was fine when we pick it up. So you can trust them with your vehicle, I think.","The room was spacious, clean, with large windows and offered a stunning view of the city. The staff is also friendly and competent. We used valet parking and the car was fine when we pick it up. So you can trust them with your vehicle, I think."
1 Hotel Brooklyn Bridge,8.0,Very good,2024-12-01,Pros (+) Amazing location next to the bridge and great service from the team.,Amazing location next to the bridge and great service from the team.
1 Hotel Brooklyn Bridge,,Poor,2024-12-01,Pros (+) Decorating and Location,Decorating and Location
1 Hotel Brooklyn Bridge,10,Wonderful,2024-11-01,Pros (+) It was such an incredible view and amazing hotel room!,It was such an incredible view and amazing hotel room!
1 Hotel Brooklyn Bridge,10,Wonderful,2024-11-01,Pros (+) Amazing location!!,Amazing location!!
1 Hotel Brooklyn Bridge,10,Wonderful,2024-11-01,"Pros (+) The decor was beautiful , the staff were friendly and the view was amazing!","The decor was beautiful , the staff were friendly and the view was amazing!"
1 Hotel Brooklyn Bridge,10,Wonderful,2024-10-01,"Pros (+) Fantastic hotel. Staff was extremely friendly and hospitable, great room with sunny view of Brooklyn bridge. Hotel lobby and amenities were exceptional. I look forward to making this a regular stay!","Fantastic hotel. Staff was extremely friendly and hospitable, great room with sunny view of Brooklyn bridge. Hotel lobby and amenities were exceptional. I look forward to making this a regular stay!"
1 Hotel Brooklyn Bridge,9.0,Wonderful,2024-10-01,"Pros (+) Room was lovely, comfortable, clean","Room was lovely, comfortable, clean"
1 Hotel Brooklyn Bridge,10,Wonderful,2024-10-01,"Pros (+) Outstanding hotel with all the bells and whistles. Progressive values, incredible design, amazing customer service and the best location with the most incredible views and sunsets. Loved our stay and would highly recommend to anyone and everyone!","Outstanding hotel with all the bells and whistles. Progressive values, incredible design, amazing customer service and the best location with the most incredible views and sunsets. Loved our stay and would highly recommend to anyone and everyone!"
1 Hotel Brooklyn Bridge,,Okay,2024-10-01,Pros (+) Location .,Location .
1 Hotel Brooklyn Bridge,10,Wonderful,2024-09-01,"Pros (+) Great location, beautiful hotel. The rooftop bar and pool have amazing views","Great location, beautiful hotel. The rooftop bar and pool have amazing views"
Walker Hotel Tribeca,9.0,Wonderful,2024-12-01,Pros (+) Awesome spot. Very cool location.,Awesome spot. Very cool location.
Walker Hotel Tribeca,10,Wonderful,2024-12-01,"Pros (+) Everything perfect, but the view was the best from the bed near the window","Everything perfect, but the view was the best from the bed near the window"
Walker Hotel Tribeca,10,Wonderful,2024-12-01,Pros (+) Amazing location,Amazing location
Walker Hotel Tribeca,,Good,2024-12-01,Pros (+) The hotel was a great location. The coffee shop on the first floor was great. The staff were very attentive and kind.,The hotel was a great location. The coffee shop on the first floor was great. The staff were very attentive and kind.
Walker Hotel Tribeca,,Good,2024-12-01,Pros (+) good location,good location
Walker Hotel Tribeca,,Good,2024-12-01,Pros (+) Location and staff were great!!,Location and staff were great!!
Walker Hotel Tribeca,,Poor,2024-12-01,Pros (+) Restaurant is good although a bit pricey,Restaurant is good although a bit pricey
Walker Hotel Tribeca,,Good,2024-12-01,Pros (+) Had a great view,Had a great view
Walker Hotel Tribeca,8.0,Very good,2024-12-01,Pros (+) dope hotel.,dope hotel.
Walker Hotel Tribeca,,Okay,2024-12-01,Pros (+) Love the beautiful design of the hotel. I had some issues with the room which was addressed professionally by the staff member. The breakfast at the cafe was amazing.,Love the beautiful design of the hotel. I had some issues with the room which was addressed professionally by the staff member. The breakfast at the cafe was amazing.
The High Line Hotel,10,Wonderful,2024-08-01,Pros (+) Great WiFi,Great WiFi
The High Line Hotel,8.0,Very good,2022-08-01,Pros (+) Location to Chelsea piers,Location to Chelsea piers
The High Line Hotel,9.0,Wonderful,2022-06-01,"Pros (+) quaint, cozy, character","quaint, cozy, character"
The High Line Hotel,,Okay,2022-06-01,"Pros (+) Location is excellent, and the facilities themselves are first class. The courtyard out the front is beautifully set, and a very pleasant place to sit and read while having a drink or catch up with friends. The bed was extremely comfortable and bathroom well equipped.","Location is excellent, and the facilities themselves are first class. The courtyard out the front is beautifully set, and a very pleasant place to sit and read while having a drink or catch up with friends. The bed was extremely comfortable and bathroom well equipped."
